"BCPD","Image","Morph","Sex","Microhabitat_Association","Viewpoint","Microhabitat","Background","GabRat"
"0599","0599_4","W","M","Present","0","Hydroid","Hydroid",0.272394754
"0615","0615_1","RB","M","Present","0","Hydroid","Hydroid_Bryozoa",0.1421969109
"0615","0615_2","RB","M","Present","0","Hydroid","Hydroid",0.2474554762
"0615","0615_3","RB","M","Absent","0","Hydroid","Red_Algae",0.1170062336
"0615","0615_4","RB","M","Present","0","Hydroid","Hydroid",0.2471594758
"0616","0616_1","W","M","Present","0","Hydroid","Hydroid_Bryozoa",0.272075728
"0616","0616_2","W","M","Present","0","Hydroid","Hydroid",0.1988381738
"0616","0616_3","W","M","Absent","0","Hydroid","Red_Algae",0.1387801537
"0616","0616_4","W","M","Present","0","Hydroid","Hydroid",0.224188703
"0618","0618_1","RB","F","Present","0","Hydroid","Hydroid_Bryozoa",0.1362672731
"0618","0618_2","RB","F","Present","0","Hydroid","Hydroid",0.2825576926
"0618","0618_3","RB","F","Absent","0","Hydroid","Red_Algae",0.126635156
"0618","0618_4","RB","F","Present","0","Hydroid","Hydroid",0.3295446906
"0619","0619_1","W","F","Present","0","Hydroid","Hydroid_Bryozoa",0.2307040255
"0619","0619_2","W","F","Present","0","Hydroid","Hydroid",0.2084254416
"0619","0619_3","W","F","Absent","0","Hydroid","Red_Algae",0.1273615681
"0619","0619_4","W","F","Present","0","Hydroid","Hydroid",0.2174498737
"0622","0622_1","W","M","Present","0","Hydroid","Hydroid_Bryozoa",0.2078559944
"0622","0622_2","W","M","Present","0","Hydroid","Hydroid",0.3029707377
"0622","0622_3","W","M","Absent","0","Hydroid","Red_Algae",0.1762666177
"0622","0622_4","W","M","Present","0","Hydroid","Hydroid",0.3301973199
"0634","0634_1","W","M","Absent","0","Red_Algae","Hydroid_Bryozoa",0.2534505406
"0634","0634_2","W","M","Absent","0","Red_Algae","Hydroid",0.1814318049
"0634","0634_3","W","M","Present","0","Red_Algae","Red_Algae",0.1156518152
"0634","0634_4","W","M","Absent","0","Red_Algae","Hydroid",0.1914981096
"0635","0635_1","RB","M","Present","0","Hydroid","Hydroid_Bryozoa",0.1550998508
"0635","0635_2","RB","M","Present","0","Hydroid","Hydroid",0.2549764185
"0635","0635_3","RB","M","Absent","0","Hydroid","Red_Algae",0.1168373129
"0635","0635_4","RB","M","Present","0","Hydroid","Hydroid",0.3034767296
"0396","0396_1","W","F","Absent","10","Red_Algae","Hydroid_Bryozoa",0.2213416009
"0396","0396_2","W","F","Absent","10","Red_Algae","Hydroid",0.3698156882
"0396","0396_3","W","F","Present","10","Red_Algae","Red_Algae",0.2514362958
"0396","0396_4","W","F","Absent","10","Red_Algae","Hydroid",0.4350172728
"0403","0403_1","RB","F","Present","10","Hydroid","Hydroid_Bryozoa",0.2000157816
"0403","0403_2","RB","F","Present","10","Hydroid","Hydroid",0.3954849103
"0403","0403_3","RB","F","Absent","10","Hydroid","Red_Algae",0.1669257287
"0403","0403_4","RB","F","Present","10","Hydroid","Hydroid",0.4537449989
"0404","0404_1","RB","M","Present","10","Hydroid","Hydroid_Bryozoa",0.1668119082
"0404","0404_2","RB","M","Present","10","Hydroid","Hydroid",0.3644043967
"0404","0404_3","RB","M","Absent","10","Hydroid","Red_Algae",0.1646907186
"0404","0404_4","RB","M","Present","10","Hydroid","Hydroid",0.4286773524
"0406","0406_1","W","F","Present","10","Hydroid_Bryozoa","Hydroid_Bryozoa",0.2760612487
"0406","0406_2","W","F","Present","10","Hydroid_Bryozoa","Hydroid",0.3830813853
"0406","0406_3","W","F","Absent","10","Hydroid_Bryozoa","Red_Algae",0.1782454454
"0406","0406_4","W","F","Present","10","Hydroid_Bryozoa","Hydroid",0.3480430818
"0406","0406_1","W","F","Present","10","Hydroid","Hydroid_Bryozoa",0.2760612487
"0406","0406_2","W","F","Present","10","Hydroid","Hydroid",0.3830813853
"0406","0406_3","W","F","Absent","10","Hydroid","Red_Algae",0.1782454454
"0406","0406_4","W","F","Present","10","Hydroid","Hydroid",0.3480430818
"0415","0415_1","Bright","F","Present","10","Hydroid_Bryozoa","Hydroid_Bryozoa",0.2781675607
"0415","0415_2","Bright","F","Present","10","Hydroid_Bryozoa","Hydroid",0.2285909767
"0415","0415_3","Bright","F","Absent","10","Hydroid_Bryozoa","Red_Algae",0.1315581639
"0415","0415_4","Bright","F","Present","10","Hydroid_Bryozoa","Hydroid",0.207469606
"0415","0415_1","Bright","F","Present","10","Hydroid","Hydroid_Bryozoa",0.2781675607
"0415","0415_2","Bright","F","Present","10","Hydroid","Hydroid",0.2285909767
"0415","0415_3","Bright","F","Absent","10","Hydroid","Red_Algae",0.1315581639
"0415","0415_4","Bright","F","Present","10","Hydroid","Hydroid",0.207469606
"0416","0416_1","W","M","Present","10","Hydroid_Bryozoa","Hydroid_Bryozoa",0.5027914724
"0416","0416_2","W","M","Present","10","Hydroid_Bryozoa","Hydroid",0.3409297588
"0416","0416_3","W","M","Absent","10","Hydroid_Bryozoa","Red_Algae",0.2783142315
